match_id,location,minute,player,position,possession_team,shot_statsbomb_xg,shot_outcome,team,timestamp,type
7547,"[106.0, 34.0]",82,Andreas Evald Cornelius,Center Forward,Denmark,0.14601058,Saved,Denmark,00:37:14.800,Shot
7547,"[114.0, 24.0]",87,Daniel Arzani,Left Wing,Australia,0.011980171,Saved,Australia,00:42:44.640,Shot
7547,"[107.0, 37.0]",87,Mathew Leckie,Right Wing,Australia,0.07465897,Saved,Australia,00:42:53.240,Shot
7547,"[97.0, 47.0]",89,Christian Dannemann Eriksen,Center Attacking Midfield,Denmark,0.033656128,Off T,Denmark,00:44:45.680,Shot
7547,"[105.0, 29.0]",91,Martin Braithwaite Christensen,Right Wing,Denmark,0.041516952,Saved,Denmark,00:46:52.960,Shot
7562,"[97.0, 53.0]",4,Mile Jedinak,Right Center Midfield,Australia,0.027759347,Off T,Australia,00:04:17.267,Shot
7562,"[95.0, 46.0]",11,Tom Rogić,Center Attacking Midfield,Australia,0.037056766,Blocked,Australia,00:11:27.587,Shot
7562,"[104.0, 53.0]",17,André Martín Carrillo Díaz,Right Midfield,Peru,0.03970575,Goal,Peru,00:17:14.547,Shot
7562,"[112.0, 42.0]",20,Mathew Leckie,Right Midfield,Australia,0.118186094,Wayward,Australia,00:20:00.707,Shot
7562,"[109.0, 37.0]",24,José Paolo Guerrero Gonzáles,Center Forward,Peru,0.13641801,Saved,Peru,00:24:07.787,Shot
7562,"[105.0, 40.0]",26,Tom Rogić,Center Attacking Midfield,Australia,0.24210833,Saved,Australia,00:26:49.067,Shot
7562,"[83.0, 33.0]",32,Víctor Yoshimar Yotún Flores,Left Defensive Midfield,Peru,0.0056918976,Off T,Peru,00:32:51.307,Shot
7562,"[116.0, 43.0]",34,Trent Sainsbury,Right Center Back,Australia,0.15594603,Off T,Australia,00:34:44.507,Shot
7562,"[115.0, 34.0]",39,Trent Sainsbury,Right Center Back,Australia,0.11028426,Off T,Australia,00:39:41.667,Shot
7562,"[111.0, 36.0]",49,José Paolo Guerrero Gonzáles,Center Forward,Peru,0.15455943,Goal,Peru,00:04:09.867,Shot
7562,"[113.0, 50.0]",51,Mile Jedinak,Right Center Midfield,Australia,0.07718142,Saved,Australia,00:06:24.627,Shot
7562,"[96.0, 61.0]",54,Aaron Mooy,Left Center Midfield,Australia,0.009029534,Blocked,Australia,00:09:47.627,Shot
7562,"[113.0, 52.0]",55,Trent Sainsbury,Right Center Back,Australia,0.04171371,Wayward,Australia,00:10:27.067,Shot
7562,"[116.0, 39.0]",58,Mile Jedinak,Right Center Midfield,Australia,0.28015888,Wayward,Australia,00:13:02.707,Shot
7562,"[111.0, 51.0]",58,Tim Cahill,Center Forward,Australia,0.058087178,Wayward,Australia,00:13:55.467,Shot
7562,"[107.0, 32.0]",58,Aziz Eraltay Behich,Left Back,Australia,0.11772655,Off T,Australia,00:13:57.547,Shot
7562,"[110.0, 35.0]",59,Tim Cahill,Center Forward,Australia,0.18379883,Blocked,Australia,00:14:24.387,Shot
7562,"[112.0, 50.0]",65,Mathew Leckie,Right Midfield,Australia,0.073874444,Blocked,Australia,00:20:30.307,Shot
7562,"[96.0, 31.0]",66,Daniel Arzani,Left Midfield,Peru,0.059451457,Off T,Australia,00:21:34.347,Shot
7562,"[93.0, 36.0]",82,Mile Jedinak,Right Center Midfield,Australia,0.062956445,Off T,Australia,00:37:54.947,Shot
7563,"[106.0, 28.0]",14,Olivier Giroud,Center Forward,France,0.08902341,Saved,France,00:14:21.920,Shot
7563,"[112.0, 42.0]",15,Raphaël Varane,Right Center Back,France,0.07222413,Off T,France,00:15:31.720,Shot
7563,"[99.0, 60.0]",32,Ousmane Dembélé,Right Wing,France,0.009843999,Off T,France,00:32:48.227,Shot
7563,"[101.0, 60.0]",38,Antoine Griezmann,Center Attacking Midfield,France,0.010871868,Saved,France,00:38:52.507,Shot
7563,"[96.0, 59.0]",44,Ousmane Dembélé,Right Wing,France,0.009946421,Off T,France,00:44:46.507,Shot
