bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.2794,,,,,,,,,,,,c15b8ad5-4b1b-418f-b6ae-e554d69d1b63,2222,,"[72.1, 31.4]",69276,47,,,,,2.5816529,,Left Foot,,,,"[65.4, 35.6]",,Ground Pass,,7.9075913,,,,,Sergio Busquets i Burgos,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,95,Barcelona,217,['37d74c1b-c29d-4d4b-ad9c-8711eccc389c'],49,,,,,,,,,,,,,,,Barcelona,00:02:49.718,Pass,
,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,95f851cc-f04d-4cb5-bf34-78b8bc969539,2225,,"[66.2, 36.7]",69276,47,,,,,1.5025265,,Right Foot,,,,"[67.0, 48.4]",,Ground Pass,,11.727319,,,,,Xavier Hernández Creus,,,,,,,2,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,95,Barcelona,217,['8777a81e-a33e-473c-8df3-6a4151804ffa'],51,,,,,,,,,,,,,,,Barcelona,00:02:51.130,Pass,
,,,,,,,,,,,,,,,,,,2.3824,,,,,,,,,,,,acaa33f0-f89c-44df-9069-0400334ac350,2228,,"[75.2, 54.9]",69276,47,,,,,1.0359564,,Right Foot,,,,"[89.3, 78.7]",,Ground Pass,,27.663153,,,,,Daniel Alves da Silva,,,,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,95,Barcelona,217,['abfbd5d1-076d-4630-852e-3f93b1ed2fc9'],53,,,,,,,,,,,,,,,Barcelona,00:02:53.783,Pass,
,,,,,,,,,,,,,,,,,,0.8716,,,,,,,,,,,,f373513d-028d-44a5-8fa3-12f2ff134cf2,2231,,"[89.3, 78.5]",69276,47,,,,,-1.6594522,,Right Foot,,,,"[88.1, 65.0]",,Ground Pass,,13.553228,,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,95,Barcelona,217,['f118ba74-7a15-44b6-9d51-5eeffd3b2d31'],56,,,,,,,,,,,,,,,Barcelona,00:02:56.564,Pass,
,,,,,,,,,,,,,,,,,,1.2744,,,,,,,,,,,,70d80f63-d5a8-409c-baef-bc4e06e364e5,2233,,"[88.1, 65.0]",69276,47,,,,,2.2018757,,Right Foot,,,,"[82.4, 72.8]",,Ground Pass,,9.660746,,,,,Daniel Alves da Silva,,,,,,,2,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,95,Barcelona,217,['5ea5c66a-02a8-4335-9216-6aa11300ce28'],57,,,,,,,,,,,,,,,Barcelona,00:02:57.435,Pass,
,,,,,,,,,,,,,,,,,,0.868319,,,,,,,,,,,,d66c92f0-b91e-4157-858c-b81fd125628b,2236,,"[84.5, 66.7]",69276,47,,,,,-0.8176451,,Right Foot,,,,"[92.0, 58.7]",,Ground Pass,,10.965857,,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,95,Barcelona,217,['690a73ed-3646-4d17-a926-86f9729365e9'],59,,,,,,,,,,,,,,,Barcelona,00:02:59.801,Pass,
,,,,,,,,,,,,,,,,,,1.4069,,,,,,,,,,,,f2acc00a-b3fc-4d36-b914-6b5e4ca74a48,2244,,"[90.4, 63.8]",69276,48,,,,,-1.7093683,,Right Foot,,,,"[85.7, 30.1]",,Ground Pass,,34.026165,,,,,Andrés Iniesta Luján,,,,,,,2,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,95,Barcelona,217,['cc595752-b9e9-4884-a1c5-d16354687ff9'],4,,,,,,,,,,,,,,,Barcelona,00:03:04.368,Pass,
,,,,,,,,,,,,,,,,,,2.098519,,,,,,,,,,,,7d04a6a7-8b6c-4eda-832e-1af4618f0a06,2248,,"[81.5, 27.6]",69276,48,,,,,-0.8908875,,Right Foot,,,,"[100.5, 4.1]",,Ground Pass,,30.220026,,,,,Maxwell Scherrer Cabelino Andrade,,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,95,Barcelona,217,['db2b8623-f317-4408-97fa-f1647abeabcc'],7,,,,,,,,,,,,,,,Barcelona,00:03:07.606,Pass,
,,,,,,,,,,,,,,,,,,1.0697,,,,,,,,,,,,18baf728-8995-4549-aaee-2a09f1fc7329,2251,,"[103.8, 4.9]",69276,48,,,,,1.56286,,Left Foot,True,,,"[104.0, 30.1]",,Low Pass,,25.200794,,,,,David Villa Sánchez,,,,,,,2,From Free Kick,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,95,Barcelona,217,['fa79ad7d-df5a-4ac1-8724-0bca5c001896'],11,,,,,,,,,,,,,,,Barcelona,00:03:11.170,Pass,
,,,,,,,,,,,,,,,,,,2.3667,,,,,,,,,,,,e14a38e4-f19b-4e24-81be-08325ff67d44,2255,,"[116.8, 6.0]",69276,48,,,,,3.10052,,Right Foot,,,,"[87.6, 7.2]",,High Pass,,29.224648,,,,,Andrés Iniesta Luján,,,,,,,2,From Free Kick,David Villa Sánchez,12737.0,Left Wing,95,Barcelona,217,['f26f01ad-d701-42fe-9564-90b30ee1c709'],19,,,,,,,,,,,,,,,Barcelona,00:03:19.218,Pass,
,,,,,,,,,,,,,,,,,,1.1216,,,,,,,,,,,,e33833d4-cf16-4355-8c3f-bf4bb62dbdd7,2259,,"[88.1, 6.0]",69276,48,,,,,1.9688107,,Right Foot,,,,"[80.7, 23.6]",,Low Pass,,19.092407,,,,,Xavier Hernández Creus,,,,,,,2,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,95,Barcelona,217,['287fe02d-a84c-4659-8a0f-e9318d3d427f'],22,,,,,,,,,,,,,,,Barcelona,00:03:22.753,Pass,
,,,,,,,,,,,,,,,,,,1.4897,,,,,,,,,,,,cb043db4-2967-4716-a687-e2f15542ffd1,2261,,"[80.7, 23.6]",69276,48,,,,,0.6472117,,Right Foot,,,,"[89.3, 30.1]",,Low Pass,,10.780074,,,Incomplete,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,95,Barcelona,217,"['8f97c6c8-a010-4216-8d24-9b7d6a8bd49a', 'b2a65dab-7945-4683-8ad1-be43fdbb8f47']",23,,,,,,,,,,,,,,,Barcelona,00:03:23.874,Pass,
,,,,,,,,,,,,,,,,,,2.7147,,,,,,,,,,,,18eaa26a-525f-48c6-8bb5-090696d62c30,2265,,"[46.9, 38.3]",69276,48,,,,,-1.2854669,,Left Foot,,,,"[55.7, 8.3]",,Low Pass,,31.264036,,,,,Sergio Busquets i Burgos,,,,,,Recovery,2,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,95,Barcelona,217,"['29a990ce-6825-4598-97d5-3e74be2717c0', '57b36f91-056a-4ae1-ac04-685c957893db']",29,,,,,,,,,,,,,,,Barcelona,00:03:29.533,Pass,True
